Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Phi Phi Nice Beach Hotel Hip,125,3 star,"6.7
Good
646 reviews","English, Burmese, Chinese [Mandarin], Lao, Thai",646 reviews,"17 Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,True,0,6.4,6.3,7.7,6.8,6.9
Phi Phi Phu Chalet Resort,350,4 star,"8.6
Excellent
523 reviews","English, Thai",523 reviews,"3/2 Moo.8, Phi Phi Island, T.Ao-Nang, Krabi, Thailand, Loh Ba Gao, Ko Phi Phi, Thailand, 81000",,,,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,0,9.2,8.5,8.0,8.9,8.4
Gypsy Sea View Resort,104,3 star,"7.1
Very good
716 reviews","English, Thai",716 reviews,"63 Moo.7 Aonang, Muang, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,0,7.3,6.7,7.2,7.8,7.4
U Rip Resort,90,3 star,"7.8
Very good
1,229 reviews","English, Thai","1,229 reviews","65 moo.7 T. Ao-nang, Muang, Krabi (Phi Phi Don), Ton Sai Bay, Ko Phi Phi, Thailand, 81000",2018,,,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,10,8.0,7.5,7.8,8.3,7.8
Chongkhao Resort,65,2 star,"7.4
Very good
1,005 reviews","English, Thai","1,005 reviews","Ton Sai Bay, Ko Phi Phi, Thailand",1,220,28,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,7.7,7.0,7.6,7.6,7.6
Phi Phi Arboreal Resort,76,3.5 star,"7.1
Very good
1,336 reviews","English, Thai","1,336 reviews","125/148 Moo 7, Ao-nang, Muang Krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",27,,2010,False,False,True,False,True,True,False,True,False,True,True,True,False,False,False,False,0,7.2,6.6,7.0,7.2,7.6
Phi Phi Tonsai Place,127,2 star,"8.3
Excellent
458 reviews","English, Thai",458 reviews,"187 Moo 7 Koh Phi Phi Don Aonang Muang Krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",,,,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,0,8.0,7.0,8.5,8.6,8.0
Phi Phi Andaman Resort,116,3 star,"7.7
Very good
59 reviews","English, Thai",59 reviews,"tonsai, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,0,7.3,7.2,8.0,8.2,7.6
Mama Beach Residence - Adults Only,247,3 star,"8.4
Excellent
2,511 reviews","English, French, Thai","2,511 reviews","92 Moo7 Aonang, Muang, Krabi, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,0,8.7,8.3,9.1,8.7,9.3
Phi Phi Top View Resort,136,3 star,"6.7
Good
112 reviews","English, Thai",112 reviews,"239 Moo 7, Phi Phi, Ton Sai Bay, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0,7.1,6.5,6.6,6.6,6.9
