Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Malibu Beach Bungalows,134,3 star,"7.4
Very good
542 reviews","English, Thai",542 reviews,"65/1 Moo 7, Ao Chaloklum, Koh Phangan, Chaloklum, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,0,7.5,7.0,8.2,6.9,7.1
Phangan Chalet Bungalow & House,72,2 star,"8.1
Excellent
18 reviews",English,18 reviews,"Chaloklum, Ko Pha-ngan, Thailand",,,,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0,9.3,7.3,8.3,9.0,8.0
Moonstone Studio,677,3 star,"8.8
Excellent
451 reviews","English, Burmese, French, German, Thai",451 reviews,"117/5 Bantai Moo 6, Haad Rin, Koh Phangan, Suratthani, Haad Rin, Ko Pha-ngan, Thailand, 84280",2,5,0,True,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,0,9.2,8.8,8.6,9.4,9.2
Joy Houses,717,0 star,"9.6
Exceptional
79 reviews","English, Hebrew, Russian, Thai, Ukrainian",79 reviews,"Haad Rin, Ko Pha-ngan, Thailand",,,,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0,9.7,9.6,9.3,9.6,9.8
Cyana Resort,290,3 star,"8.4
Excellent
319 reviews","English, Burmese, Dutch, Thai",319 reviews,"32/3 Moo 4, Wok Tum, Ko Pha-ngan, Thailand, 84280",0,220,14,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0,8.8,8.0,7.3,8.6,8.5
Wangsai Resort,151,2 star,"8.6
Excellent
439 reviews","English, Thai",439 reviews,"106/5 M.7, Mae Haad, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,4,8.4,8.4,8.6,7.8,8.0
Red Pearl Resort sea view,139,3 star,"8.5
Excellent
337 reviews","English, French, German",337 reviews,"Chaloklum, Ko Pha-ngan, Thailand",,,,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,0,9.1,8.7,8.3,9.0,9.0
Wattana Resort,82,2 star,"8.1
Excellent
405 reviews","English, Thai",405 reviews,"69/2 Moo 7 Baan , Chaloklum, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,7.8,7.5,8.2,7.6,8.5
Phangan Orchid Resort,362,3 star,"7.0
Very good
132 reviews","English, Thai",132 reviews,"118 Moo 4, Baan Tai, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0,7.2,6.7,7.1,8.0,7.2
Cannabitel,858,3 star,"7.1
Very good
37 reviews",Thai,37 reviews,"157 Haad Rin Moo 6, Baan Tai, Haad Rin, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0,6.9,5.4,8.4,6.3,6.1
Milky Bay Resort,JMI,3 star,"8.2
Excellent
1,366 reviews","English, Burmese, Filipino, Thai","1,366 reviews","103/4 Moo 1, Thong Sala, Ko Pha-ngan, Thailand, 84280",1,39,1,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,0,8.3,8.0,8.1,8.6,8.6
First Villa,235,3 star,"8.1
Excellent
519 reviews","English, Burmese, French, Thai",519 reviews,"145/1 Moo 1, Thong Sala, Ko Pha-ngan, Thailand, 84280",30,2001,220,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0,8.0,7.8,8.1,7.3,8.7
Havana Beach Resort,240,3 star,"8.4
Excellent
693 reviews","English, Burmese, Dutch, French, Hindi, Russian, Thai, Ukrainian",693 reviews,"47/5 Moo 5, Thong Nai Pan Yai, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False,0,8.5,7.8,8.6,8.1,8.4
Bottle Beach 1 Resort,279,3 star,"7.9
Very good
341 reviews","English, Thai",341 reviews,"PO BOX 48 Koh Phangan,Surant Thani, Haad Khuad, Ko Pha-ngan, Thailand, 84280",30,,220,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False,0,7.7,7.3,8.8,6.8,8.1
MediLeaf Hostel,617,0 star,"7.7
Very good
25 reviews","English, Thai",25 reviews,"Haad Rin, Ko Pha-ngan, Thailand",,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,7.4,7.4,8.8,7.6,9.2
Smile Bungalows,46,2.5 star,"7.6
Very good
278 reviews","English, Thai",278 reviews,"74/9 Moo 7 Bottle Beach, Haad Khuad, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0,7.4,6.9,7.9,6.8,7.7
Longtail Beach Resort,186,0 star,"8.8
Excellent
66 reviews","English, Thai",66 reviews,"Moo 5 Thong Nai Pan Yai Beach, Thong Nai Pan Yai, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,0,8.6,8.5,9.0,8.6,9.6
First and Frang Hotel (SHA Extra Plus),299,3 star,"8.0
Excellent
191 reviews","English, Thai",191 reviews,"112/18 M.1 Thong Sala-Haadrin Road, Thong Sala, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False,0,8.3,7.7,8.0,7.9,8.6
Chabalay Resort,149,0 star,"8.4
Excellent
38 reviews","English, Thai",38 reviews,"34/4 Moo 3, Koh Tao, Koh Phangan, Koh Phangan, Ko Pha-ngan, Thailand, 84360",,,,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,0,8.8,8.0,9.3,8.5,9.3
Phupha Bungalow,297,2 star,"7.6
Very good
6 reviews","English, Thai",6 reviews,"Haad Rin, Ko Pha-ngan, Thailand",,,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,7.6,7.3,9.2,8.0,9.2
