Name,Price,Stars,Score,SpokenLanguages,Reviews,Location,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score,Origin
CS Residence,72,2.5,7.6,"English, Thai",479,"9, Soi Bangna-Trad 19 (Soi Udomsuk 42/ Soi Chalieng 1), Bangna, Bang Na, Bangkok, Thailand, 10260",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.0,7.7,7.3,8.0,7.4,7.5,Bangkok
Like Sukhumvit 22,120,5.0,7.7,"English, Thai",583,"Sukhumvit, Bangkok, Thailand",0,0,0,1,0,1,0,1,1,0,0,1,0,0,4.0,8.1,7.2,7.0,8.0,8.0,Bangkok
U sabai hotel (SHA Plus+),86,2.5,8.7,"English, Thai",486,"1 Soi Charoen Nakhon 22 Khlongsan, Bangkok Riverside, Bangkok, Thailand, 10600",1,0,0,0,0,0,0,1,0,0,0,1,0,0,14.0,9.1,8.4,8.8,9.2,8.8,Bangkok
BACKPACK STATION,46,2.0,8.3,"English, Japanese, Thai",530,"24-24/1 Soi Pridi Banomyong 2, Sukhumvit 71 Rd. Phrakanong-Nuang, Wattana, Bangkok, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,0,0,0,0,1,0,1,1,1,0,0,32.0,8.3,8.0,8.3,8.6,8.7,Bangkok
KANVELA HOUSE,87,2.0,8.8,"English, Thai",134,"716 Krungkasem road, Wat Sommanat, Pomprap Sattruphai, Khaosan, Bangkok, Thailand, 10100",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0.0,9.1,8.6,8.3,9.1,8.9,Bangkok
LAF Hotel Aree,39,0.0,8.3,"English, Chinese [Mandarin], Japanese, Spanish, Thai",267,"No.3 Soi Phaholyothin 5, Phaholyothin Road, Samsen Nai, Phayathai,, Chatuchak, Bangkok, Thailand, 10400",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,8.2,8.0,9.0,8.5,8.5,Bangkok
Slumber Party Soi 1,47,2.0,8.4,"English, Thai",401,"19 Soi Sukhumvit 1, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,0,1,0,1,0,1,0,1,0,0,0.0,8.9,8.4,8.5,8.9,8.6,Bangkok
Nantra Sukhumvit 39,62,3.0,6.7,"English, Thai",6171,"Sukhumvit, Bangkok, Thailand",0,0,0,0,0,1,0,1,0,0,0,1,0,0,14.0,6.2,5.8,8.5,6.7,6.5,Bangkok
Sound@sleep Hotel (SHA Extra Plus),82,2.0,8.5,"English, Thai",1655,"5325 Prachasongkhro Road, Dindaeng, Ratchada, Bangkok, Thailand, 10400",0,0,0,1,0,1,0,1,0,0,0,1,0,0,19.0,8.8,8.2,8.4,8.9,8.8,Bangkok
So good Hotel Bangkok (SHA Certified),66,3.0,8.6,"English, Thai",689,"2/1 20 mithuna yek 13, Ratchada, Bangkok, Thailand, 10310",1,0,0,0,0,1,0,1,0,0,0,1,0,0,22.0,9.0,8.5,8.7,8.9,9.0,Bangkok
KENCOZY accommodation,83,2.0,8.3,"English, Chinese [Mandarin], Thai",1305,"Thanon Sutthisan Winitchai Phayathai Samsennai, Chatuchak, Bangkok, Thailand, 10400",0,0,0,1,1,1,0,1,0,1,0,1,0,0,0.0,8.7,7.8,8.1,10.0,8.1,Bangkok
Suvarnabhumi Oriental Resort,70,2.5,7.4,"English, Burmese, Filipino, Japanese, Lao, Malay, Thai",479,"Prachatorn Road, Suvarnabhumi Airport, Bangkok, Thailand, 10520",0,0,0,1,1,1,1,1,0,1,1,1,0,0,0.0,7.8,7.0,6.8,7.3,7.7,Bangkok
For You Residence,92,2.0,7.7,"English, Thai",1288,"839, Silom Rd. (in front of Silom soi 17 & Pramuan Road), Bangrak, Silom, Bangkok, Thailand, 10500",0,0,0,1,1,1,0,1,0,1,1,1,0,0,8.0,7.6,6.8,8.5,7.1,8.1,Bangkok
Baan K Residence,99,3.0,8.5,"English, Thai",1142,"12/1 Soi Sathorn2, North Sathorn Rd., Silom, Bangrak, Sathorn, Bangkok, Thailand, 10500",0,0,0,1,1,1,1,1,0,1,1,1,0,0,0.0,9.0,8.2,8.3,8.9,9.0,Bangkok
The Sunreno Hotel (SHA Certified),102,3.0,8.4,"English, Thai",2614,"341 Charoenkrung Rd. 91/1 , Bangkok Riverside, Bangkok, Thailand, 10120",0,0,1,1,0,0,0,1,0,0,0,1,0,0,4.0,8.6,8.0,9.0,8.6,8.6,Bangkok
Siam Subway Hostel and Cafe,120,3.0,9.3,"English, Thai",166,"25 Sam Yot Alley, Samyot MRT Station Exit 2, Charoen Krung Road, Phranakhon, China Town, Bangkok, Thailand, 10200",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,9.6,9.0,9.4,9.7,9.3,Bangkok
