Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
All Together Suite,59,3.5 star,"6.8
Good
885 reviews","English, Thai",885 reviews,"509 Pracha U-Thit 13, Kwang Samsennok, Huaykwang,Bangkok, Ratchada, Bangkok, Thailand, 10310",,,,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,18,6.7,6.4,6.6,7.4,6.9
B2 Don Mueang Premier Hotel,95,3 star,"8.7
Excellent
1,682 reviews","English, Thai","1,682 reviews","1/8 Chaeng Wattthana 4 Road,Anusawari,Bang Khen,Bangkok, Don Mueang International Airport, Bangkok, Thailand, 10220",,,,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,42,9.0,8.7,8.8,8.8,9.0
Casa 17 Hotel Bangkok,162,4 star,"8.7
Excellent
92 reviews","English, Thai",92 reviews,"163/14 Soi Somdet Phra Pinklao 17, Somdet Phra Pinklao rd, Arun Amarin, Bangkok Noi, Thonburi, Bangkok, Thailand, 10700",,,,True,True,False,True,True,True,False,True,False,True,True,True,False,False,False,False,22,9.3,8.7,7.8,9.1,9.0
Oakwood Hotel & Residence Bangkok (SHA Plus+),189,4 star,"8.3
Excellent
1,565 reviews","English, Thai","1,565 reviews","143 S Sathorn Rd, Sathorn, Bangkok, Thailand, 10120",1,1,11,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,10,8.6,8.1,8.5,8.7,8.3
UMA Residence,93,3 star,"8.4
Excellent
1,669 reviews","English, Chinese [Mandarin], Thai","1,669 reviews","580 Sriyan 1 Nakhon Chaisri Rd., Dusit, Chatuchak, Bangkok, Thailand, 10300",1,,135,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,22,8.9,8.3,7.8,8.9,8.6
14 Resort,73,3 star,"8.0
Excellent
2,282 reviews","English, Thai","2,282 reviews","2/1-3 Petkasem Road, Soi 35/1 Bangwaa, Pasicharoen, Bangkok 10160, South Thonburi, Bangkok, Thailand, 10160",,,,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,20,8.3,7.8,8.4,8.2,7.9
,JMI,4 star,"8.9
Excellent
1,131 reviews",,"1,131 reviews","10 Rachataphan, Ratchaprarop Makkasan, Ratchatewi, Pratunam, Bangkok, Thailand, 10400",,,,True,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,13,9.2,8.8,8.8,9.3,9.1
,JMI,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False
,JMI,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False
,JMI,,,,,,,,,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,0,False,False,8.4,8.4,8.7
